"X","Y","Date","sex","id","name"
1782673.36909955,2402296.71199298,2009-02-11 12:16:45,"M","M1","Leroy"
1782679.71360812,2402296.90544642,2009-02-11 12:31:38,"M","M1","Leroy"
1782682.99681033,2402292.3312789,2009-02-11 12:45:48,"M","M1","Leroy"
1782685.83190403,2402304.72847975,2009-02-11 13:00:16,"M","M1","Leroy"
1782680.56111392,2402296.64679636,2009-02-11 13:15:19,"M","M1","Leroy"
1782670.64757241,2402290.47443838,2009-02-11 13:30:13,"M","M1","Leroy"
1782682.52025387,2402297.62762182,2009-02-11 13:45:37,"M","M1","Leroy"
1782686.19804954,2402280.65174043,2009-02-11 14:00:35,"M","M1","Leroy"
1782681.66650571,2402290.17867156,2009-02-11 14:15:49,"M","M1","Leroy"
1782680.51771653,2402291.25027197,2009-02-11 14:30:49,"M","M1","Leroy"
1782684.2900223,2402297.74819335,2009-02-11 14:45:13,"M","M1","Leroy"
1782683.67425639,2402298.90010151,2009-02-11 15:00:45,"M","M1","Leroy"
1782684.92466286,2402273.59723259,2009-02-11 15:15:10,"M","M1","Leroy"
1782681.00263667,2402299.69141109,2009-02-11 15:30:44,"M","M1","Leroy"
1782669.49235748,2402309.23069107,2009-02-11 15:45:33,"M","M1","Leroy"
1782679.70919916,2402323.90453488,2009-02-11 16:00:31,"M","M1","Leroy"
1782678.75097178,2402299.20404366,2009-02-11 16:15:14,"M","M1","Leroy"
1782676.33028221,2402296.78169604,2009-02-11 16:30:11,"M","M1","Leroy"
1782679.03872912,2402304.45172246,2009-02-11 16:45:52,"M","M1","Leroy"
1782676.36138261,2402299.5108959,2009-02-11 17:00:12,"M","M1","Leroy"
1782698.98504691,2402273.10308647,2009-02-11 17:15:12,"M","M1","Leroy"
1782685.60287423,2402300.0804204,2009-02-11 17:30:19,"M","M1","Leroy"
1782686.41586628,2402300.25000873,2009-02-11 17:45:45,"M","M1","Leroy"
1782676.95712171,2402299.96207846,2009-02-11 18:00:23,"M","M1","Leroy"
1782681.25195977,2402292.42333134,2009-02-11 18:15:19,"M","M1","Leroy"
1782676.64476407,2402292.20494567,2009-02-11 18:30:09,"M","M1","Leroy"
1782678.15941884,2402292.90822592,2009-02-11 18:45:17,"M","M1","Leroy"
1782675.54433376,2402301.44201686,2009-02-11 19:00:12,"M","M1","Leroy"
1782678.37956907,2402288.90632853,2009-02-11 19:15:14,"M","M1","Leroy"
1782684.69755826,2402277.769752,2009-02-11 19:30:48,"M","M1","Leroy"
1782675.9508297,2402301.52681047,2009-02-11 19:45:23,"M","M1","Leroy"
1782689.92191908,2402300.63252247,2009-02-11 20:01:20,"M","M1","Leroy"
1782678.05109539,2402267.44433024,2009-02-11 20:15:44,"M","M1","Leroy"
1782677.26568046,2402292.44388524,2009-02-11 20:30:22,"M","M1","Leroy"
1782677.51255265,2402289.91833704,2009-02-11 20:45:14,"M","M1","Leroy"
1782673.92762141,2402297.10842225,2009-02-11 21:00:17,"M","M1","Leroy"
1782691.51379056,2402292.99335226,2009-02-11 21:15:18,"M","M1","Leroy"
1782689.74003663,2402286.03853635,2009-02-11 21:30:16,"M","M1","Leroy"
1782672.06802916,2402297.89682533,2009-02-11 21:45:06,"M","M1","Leroy"
1782681.94982088,2402296.0454638,2009-02-11 22:00:23,"M","M1","Leroy"
1782680.7467533,2402290.24794215,2009-02-11 22:15:15,"M","M1","Leroy"
1782675.20403056,2402295.28609994,2009-02-11 22:30:49,"M","M1","Leroy"
1782676.01496276,2402298.8546202,2009-02-11 22:45:23,"M","M1","Leroy"
1782671.90748045,2402276.29085287,2009-02-11 23:00:19,"M","M1","Leroy"
1782679.17163536,2402288.63454731,2009-02-11 23:15:15,"M","M1","Leroy"
1782681.74119893,2402288.45071355,2009-02-11 23:30:26,"M","M1","Leroy"
1782680.0969243,2402295.67551341,2009-02-11 23:45:09,"M","M1","Leroy"
1782683.52661105,2402297.01612184,2009-02-12 00:00:05,"M","M1","Leroy"
1782677.90063394,2402292.83544844,2009-02-12 00:15:38,"M","M1","Leroy"
1782686.03429706,2402293.31485144,2009-02-12 00:30:39,"M","M1","Leroy"
1782682.96673753,2402269.53884021,2009-02-12 00:45:19,"M","M1","Leroy"
1782677.5149341,2402287.04776816,2009-02-12 01:00:11,"M","M1","Leroy"
1782683.27182347,2402288.23901443,2009-02-12 01:15:09,"M","M1","Leroy"
1782679.94876316,2402288.99087729,2009-02-12 01:30:22,"M","M1","Leroy"
1782678.01499119,2402292.07010115,2009-02-12 01:45:12,"M","M1","Leroy"
